,id,chat_history,gt_response,RLPA_response,blenderbot_response
0,0,[usr] Yeah about 10 years ago I had a horrifying experience. It was 100% their fault but they hit the water barrels and survived. They had no injuries but they almost ran me off the road.,Did you suffer any injuries?,"Oh my gosh, I would have been so scared. What happened? Did they end up running away?","Oh my gosh, I would have been terrified! I am glad they were okay."
1,1,[usr] Yeah about 10 years ago I had a horrifying experience. It was 100% their fault but they hit the water barrels and survived. They had no injuries but they almost ran me off the road. [sys] Did you suffer any injuries? [usr] No I wasn't hit. It turned out they were drunk. I felt guilty but realized it was his fault.,Why did you feel guilty? People really shouldn't drive drunk.,What a relief that it turned out to be nothing serious. Did you have to go to the hospital to get stitches or anything like that?,"Well that's a relief, I'm glad to hear that you didn't get hurt."
2,2,"[usr] Well, can you tell me about your experience? I think we swapped places",Yeah i wanted to tell you about the time i was hit by a drunk driver im so happy to still be alive after that experience,I think you may be right. I can't remember the last time I went to a club.,"I think you may be right, I can't remember the last time I went to one."
3,3,"[usr] Well, can you tell me about your experience? I think we swapped places [sys] Yeah i wanted to tell you about the time i was hit by a drunk driver im so happy to still be alive after that experience [usr] Oh my goodness, that's very scary! I hope you are okay now and the drunk driver was punished for his actions?",Yeah he was punished hes in jail still,Yeah i am fine now but that was a long time ago so i cant really talk about it,No the police didnt do anything about it i was lucky to be alive but it was a very traumatic experience
4,4,"[usr] I there, dont know what to do, jst broke up with my girlfirned, we were 8 years together",sorry to hear! do you have any idea about the break up? did you think about it ?,"Well, that's a long time. Maybe you should try to move on, find someone else?",That is a long time.  I am sorry to hear that.  Maybe things will work themselves out.
5,5,"[usr] I there, dont know what to do, jst broke up with my girlfirned, we were 8 years together [sys] sorry to hear! do you have any idea about the break up? did you think about it ? [usr] Yes we decided together with our minds, and know i come home and feel so distant from the world",sorry again! hope you'll get relief from this sadness. Please concentrate on your interests to divert your mind from this.,I can imagine it must be tough. i would be devastated too. i hope you find the courage to move on,I can see how that would be a difficult thing to come home to. I hope you are able to move on and find someone else to share your life with.
6,6,[usr] I couldn't wait to go to the concert.,Which Concert?,That's awesome. I love going to concerts. Who are you going to see?,I love concerts. Who were you going to see and who was the singer/songwriter?
7,7,"[usr] I couldn't wait to go to the concert. [sys] Which Concert? [usr] The U2 concert. Tickets were really expensive and I never thought we would be able to go, but somehow we did!!!","Wow, that's awesome! I have never been to an actual concert.",That is awesome. Who is your favorite band? Mine is Led Zeppelin.,"That is awesome, I bet it was a great time. I like a lot of bands, but I have never seen them live."
8,8,[usr] I'm so sad because i've read an article about a newborn girl who died because her parents didn't believe in medication and doctors,"Ugh, those articles always get me too... :( What was wrong with her?",That is so sad. I hate when people don't take medicine. It can seriously kill someone.,Oh no. Medication is so scary because it can make you do all kinds of crazy things. I wouldn't wish that on my worst enemy.
9,9,"[usr] I'm so sad because i've read an article about a newborn girl who died because her parents didn't believe in medication and doctors [sys] Ugh, those articles always get me too... :( What was wrong with her? [usr] she was born premature at home, she had hard time breathing on her own but instead of taking her to the doctor parents were just praying",Jeez! Its so unfortunate... very sad really.,I can't even begin to imagine how hard that must have been for her. I'll keep my fingers crossed that she'll be okay.,"Praying is a good thing to do, at least it seems like they were trying to do what they thought was best for her."
10,10,[usr] so my friend's baby fell down and scraped his knee yesterday and i was trying so hard to cheer him up,That is nice of you. What did you do?,Oh no!  That is so sad and scary.  I hope he is okay and that you are cheering him up!,Oh no!  That is so sad and scary.  I hope he is okay and that you are cheering him up!
11,11,[usr] so my friend's baby fell down and scraped his knee yesterday and i was trying so hard to cheer him up [sys] That is nice of you. What did you do? [usr] i was singing nursery songs :),Which one?,That is fun!  I did that with my kids a few weeks ago.  It is so therapeutic!,"Oh, that is a very nice thing to do. I am sure he appreciated it."
12,12,[usr] my husband lost a job but i'm hoping he can find a full time job soon,"He will, I have faith.",I am so sorry to hear about your husband's job.  I hope he gets one soon too.,"Oh no, I'm sorry to hear that. Fingers crossed he can get one soon."
